Gene Model ID	Gene Symbol	Full Name	Source	Chromosome	Start	End
AC234161.1_FG001	piip1	physical impedance induced protein1	Classical Gene	Chr9	117,425,596	117,425,985
AC209208.3_FG002	pip1b	plasma membrane intrinsic protein1	Classical Gene	Chr5	193,359,341	193,362,190
GRMZM2G081843	pip1e	plasma membrane intrinsic protein1	Classical Gene	Chr4	170,004,633	170,006,133
GRMZM2G178693	pip2a	plasma membrane intrinsic protein2	Classical Gene	Chr2	28,493,204	28,495,467
GRMZM2G092125	pip2b	plasma membrane intrinsic protein2	Classical Gene	Chr2	169,186,912	169,190,423
GRMZM2G081192	pip2c	plasma membrane intrinsic protein2	Classical Gene	Chr4	143,891,075	143,894,123
GRMZM2G154628	pip2d	plasma membrane intrinsic protein2	Classical Gene	Chr5	195,239,679	195,242,694
GRMZM2G014914	pip2e	plasma membrane intrinsic protein2	Classical Gene	Chr7	41,435,006	41,438,812
GRMZM2G047368	pip2f	plasma membrane intrinsic protein2	Classical Gene	Chr7	41,553,959	41,555,454
GRMZM2G014833	pk4	protein kinase4	Classical Gene	Chr3	195,572,570	195,576,335
GRMZM2G018728	pki1	protein kinase inhibitor1	Classical Gene	Chr1	52,805,139	52,807,763
GRMZM2G701063	pl1	purple plant1	Classical Gene	Chr6	108,491,299	108,492,380
GRMZM2G010868	plt2	phospholipid transfer protein homolog2	Classical Gene	Chr3	230,694,240	230,696,031
GRMZM5G833389	pmg1	phosphoglycerate mutase1	Classical Gene	Chr8	170,315,932	170,320,657
GRMZM2G090718	ppp1	pyrophosphate-energized proton pump1	Classical Gene	Chr5	210,643,769	210,647,890
GRMZM2G025409	ppr5	pentatricopeptide repeat 5	Classical Gene	Chr4	181,456,446	181,458,981
GRMZM2G120047	prc1	proteasome component1	Classical Gene	Chr6	81,137,995	81,139,170
GRMZM2G074361	prf1	profilin homolog1	Classical Gene	Chr6	160,357,192	160,358,354
GRMZM2G112240	prh1	ser/thr protein phosphatase1	Classical Gene	Chr4	170,944,444	170,947,965
AC205274.3_FG001	prp1	pathogenesis-related protein1	Classical Gene	Chr8	51,816,721	51,817,224
GRMZM2G102356	prp2	pathogenesis-related protein2	Classical Gene	Chr2	41,216,939	41,217,919
GRMZM5G849107	ps1	pink scutellum1	Classical Gene	Chr5	100,737,438	100,739,288
GRMZM2G438551	psei1	cystatin1	Classical Gene	Chr3	187,772,204	187,778,415
GRMZM2G012160	psei2	cystatin2	Classical Gene	Chr8	170,965,314	170,968,006
GRMZM2G328785	ptk1	protein kinase1	Classical Gene	Chr6	133,823,627	133,826,469
GRMZM2G087233	qm1	QM1 homolog1	Classical Gene	Chr5	19,458,986	19,461,229
GRMZM5G822829	r1	colored1	Classical Gene	Chr10	138,489,998	138,498,818
GRMZM2G003927	ra1	ramosa1	Classical Gene	Chr7	110,359,182	110,359,930
AC233943.1_FG002	ra2	ramosa2	Classical Gene	Chr3	12,890,068	12,890,853
GRMZM2G014729	ra3	ramosa3	Classical Gene	Chr7	166,895,789	166,900,274
GRMZM2G165901	rab15	responsive to abscisic acid15	Classical Gene	Chr5	14,084,193	14,085,595
GRMZM2G316113	rbap1	WD-repeat protein RBAP1	Classical Gene	Chr8	153,994,750	154,008,418
GRMZM2G042992	rel2	ramosa1 enhancer locus2	Classical Gene	Chr10	76,650,034	76,659,099
GRMZM2G058675	rf2	restorer of fertility2	Classical Gene	Chr9	34,129,753	34,143,728
GRMZM2G020187	rgd1	ragged seedling1	Classical Gene	Chr6	17,165,517	17,171,948
GRMZM2G109987	rld1	rolled leaf1	Classical Gene	Chr9	154,912,262	154,920,527
GRMZM2G154946	rmr1	required to maintain repression1	Classical Gene	Chr6	144,471,007	144,478,241
GRMZM2G035820	rnc1	ribonuclease III domain protein1	Classical Gene	Chr3	187,230,808	187,235,487
GRMZM5G846811	rop2	Rho-related protein from plants2	Classical Gene	Chr4	238,592,881	238,596,701
AC152495.1_FG002	rp1	resistance to Puccinia sorghi1	Classical Gene	Chr10	3,283,523	3,287,419
GRMZM2G381395	rpot1	RNA polymerase T phage-like 1	Classical Gene	Chr7	166,160,578	166,175,495
GRMZM2G019325	rps11	ribosomal protein S11	Classical Gene	Chr10	141,493,143	141,495,837
GRMZM2G003043	rrb1	related to retinoblastoma1	Classical Gene	Chr2	224,644,895	224,652,148
GRMZM2G028041	rs1	rough sheath1	Classical Gene	Chr7	3,667,975	3,674,168
GRMZM2G403620	rs2	rough sheath2	Classical Gene	Chr1	154,968,134	154,972,600
GRMZM2G092542	rtcs1	rootless concerning crown and seminal roots1	Classical Gene	Chr1	10,824,798	10,826,042
GRMZM2G099056	rth1	roothair defective1	Classical Gene	Chr1	253,953,554	253,966,804
GRMZM2G377215	rth3	roothair defective3	Classical Gene	Chr1	47,509,017	47,511,525
GRMZM2G017557	rtp1	root preferential1	Classical Gene	Chr4	11,930,712	11,932,207
GRMZM2G117935	sal1	supernumerary aleurone1	Classical Gene	Chr9	95,580,781	95,583,611
GRMZM2G154397	sam2	S-adenosyl methionine decarboxylase2	Classical Gene	Chr2	33,120,217	33,123,687
GRMZM2G038356	sar1	SAR homolog1	Classical Gene	Chr3	63,530,359	63,532,921
GRMZM2G088753	sbe1	starch branching enzyme1	Classical Gene	Chr5	63,346,023	63,352,952
GRMZM2G073054	sbe3	starch branching enzyme3	Classical Gene	Chr2	59,216,710	59,226,937
GRMZM2G028393	sci1	subtilisin-chymotrypsin inhibitor homolog1	Classical Gene	Chr8	133,996,633	133,997,534
GRMZM2G074082	sgo1	shugoshin centromeric cohesion1	Classical Gene	Chr7	18,531,204	18,535,522
GRMZM2G089713	sh1	shrunken1	Classical Gene	Chr9	11,500,926	11,507,687
GRMZM2G429899	sh2	shrunken2	Classical Gene	Chr3	216,495,981	216,505,345
GRMZM2G139073	si1	silky1	Classical Gene	Chr6	84,949,624	84,954,298
GRMZM2G136887	smh1	single myb histone1	Classical Gene	Chr8	139,912,821	139,920,531
GRMZM2G108424	smh4	single myb histone4	Classical Gene	Chr3	204,430,351	204,438,078
GRMZM2G095239	smh6	single myb histone6	Classical Gene	Chr5	17,123,432	17,138,841
GRMZM2G025992	sod2	superoxide dismutase2	Classical Gene	Chr7	171,775,019	171,778,224
GRMZM2G059991	sod3	superoxide dismutase3	Classical Gene	Chr6	136,070,517	136,074,741
GRMZM2G169890	sod4	superoxide dismutase4	Classical Gene	Chr1	60,147,420	60,151,012
GRMZM2G058522	sod9	superoxide dismutase9	Classical Gene	Chr9	129,535,000	129,538,722
GRMZM2G025222	spi1	sparse inflorescence1	Classical Gene	Chr3	69,968,705	69,970,558
GRMZM2G055489	spp1	sucrose-phosphatase1	Classical Gene	Chr8	115,832,232	115,838,487
GRMZM5G875238	sps1	sucrose phosphate synthase1	Classical Gene	Chr8	161,465,833	161,471,194
GRMZM2G129451	ss1	starch synthase I	Classical Gene	Chr9	17,640,522	17,651,342
GRMZM2G098520	ssu1	ribulose bisphosphate carboxylase small subunit1	Classical Gene	Chr4	190,228,051	190,230,534
GRMZM2G113033	ssu1	ribulose bisphosphate carboxylase small subunit1	Classical Gene	Chr2	143,429,392	143,430,581
GRMZM2G113033	ssu2	ribulose bisphosphate carboxylase small subunit2	Classical Gene	Chr2	143,429,392	143,430,581
GRMZM2G177098	stc1	sesquiterpene cyclase1	Classical Gene	Chr9	11,745,997	11,754,981
GRMZM2G165433	stk1	serine threonine kinase1	Classical Gene	Chr9	11,782,450	11,785,572
GRMZM2G097768	stp1	sugar transport1	Classical Gene	Chr8	73,418,620	73,424,707
GRMZM2G138060	su1	sugary1	Classical Gene	Chr4	41,396,390	41,405,179
GRMZM2G348551	su2	sugary2	Classical Gene	Chr6	113,414,100	113,419,156
GRMZM2G109818	sun1	SUN domain protein1	Classical Gene	Chr5	88,695,793	88,701,952
GRMZM2G440614	sun2	SUN domain protein2	Classical Gene	Chr3	38,600,230	38,605,885
GRMZM2G005483	sun4	SUN domain protein4	Classical Gene	Chr8	165,131,574	165,135,243
AC194341.4_FG003	sun5	SUN domain protein5	Classical Gene	Chr8	140,924,162	140,926,362
GRMZM2G152908	sus1	sucrose synthase1	Classical Gene	Chr9	122,479,052	122,485,725
GRMZM2G009785	sxd1	sucrose export defective1	Classical Gene	Chr5	133,540,574	133,557,141
GRMZM2G002276	taf1	transcription associated factor1	Classical Gene	Chr3	179,837,079	179,842,136
GRMZM2G039113	tan1	tangled1	Classical Gene	Chr6	142,758,475	142,760,706
AC233950.1_FG002	tb1	teosinte branched1	Classical Gene	Chr1	265,811,311	265,813,044
GRMZM2G161418	tbp2	TATA-binding protein2	Classical Gene	Chr5	15,340,632	15,345,558
GRMZM2G321778	tdy1	tie-dyed1	Classical Gene	Chr6	166,836,363	166,837,893
GRMZM2G085113	te1	terminal ear1	Classical Gene	Chr3	165,216,844	165,220,769
GRMZM2G101511	tga1	teosinte glume architecture1	Classical Gene	Chr4	44,534,815	44,539,478
GRMZM5G835323	tif1	translation initiation factor1	Classical Gene	Chr7	154,305,680	154,308,577
GRMZM2G144030	tif5A	eukaryotic translation initiation factor 5A	Classical Gene	Chr7	163,041,712	163,045,353
GRMZM2G016671	tlk1	tousled-like protein kinase1	Classical Gene	Chr1	276,396,791	276,429,710
GRMZM2G172132	tlk2	tousled-like protein kinase2	Classical Gene	Chr5	7,231,744	7,248,155
GRMZM2G036564	tm20	transmembrane protein20	Classical Gene	Chr6	120,315,469	120,319,622
GRMZM2G424053	trh1	thioredoxin h homolog1	Classical Gene	Chr6	157,965,018	157,969,757
GRMZM2G104843	ts1	tassel seed1	Classical Gene	Chr2	45,820,737	45,825,105
GRMZM2G455809	ts2	tassel seed2	Classical Gene	Chr1	46,683,464	46,684,885
GRMZM5G803935	ts4	tasselseed4	Classical Gene	Chr3	144,918,011	144,918,720
GRMZM5G862109	ts6	tasselseed6	Classical Gene	Chr1	292,966,682	292,970,925
GRMZM2G325850	tsh1	tassel sheath1	Classical Gene	Chr6	166,277,494	166,278,842
GRMZM2G152466	tua4	alpha tubulin4	Classical Gene	Chr5	9,481,738	9,485,476
GRMZM2G099167	tua5	alpha tubulin5	Classical Gene	Chr2	207,291,939	207,295,620
GRMZM2G083243	tua6	alpha tubulin6	Classical Gene	Chr7	160,071,867	160,075,599
GRMZM2G334899	tub2	beta tubulin2	Classical Gene	Chr8	104,292,707	104,296,183
GRMZM2G108766	tub3	beta tubulin3	Classical Gene	Chr1	258,611,047	258,615,106
GRMZM2G066191	tub4	beta tubulin4	Classical Gene	Chr5	14,869,913	14,874,139
GRMZM2G419891	ubi2	ubiquitin2	Classical Gene	Chr4	237,423,191	237,427,552
GRMZM2G067546	vacs1	vacuolar sorting receptor homolog1	Classical Gene	Chr9	131,423,638	131,431,860
GRMZM2G133398	vp1	viviparous1	Classical Gene	Chr3	162,842,569	162,847,653
GRMZM2G067176	vp10	viviparous10	Classical Gene	Chr10	146,104,115	146,108,434
GRMZM2G014392	vp14	viviparous14	Classical Gene	Chr1	250,953,388	250,956,063
GRMZM2G121468	vp15	viviparous15	Classical Gene	Chr5	174,261,710	174,266,807
GRMZM2G410515	vp5	viviparous5	Classical Gene	Chr1	17,660,122	17,666,235
GRMZM2G010353	vp8	viviparous8	Classical Gene	Chr1	286,390,345	286,398,537
GRMZM2G014240	vpp1	vacuolar proton pump homolog1	Classical Gene	Chr9	14,328,479	14,333,699
GRMZM2G057243	wc1	white cap1	Classical Gene	Chr9	152,353,213	152,359,196
GRMZM2G151227	whp1	white pollen1	Classical Gene	Chr2	224,558,005	224,561,990
GRMZM2G155662	why1	whirly1	Classical Gene	Chr6	71,779,327	71,782,388
GRMZM2G156632	wip1	wound induced protein1	Classical Gene	Chr8	12,275,985	12,276,693
GRMZM2G403797	wtf1	what's this factor1	Classical Gene	Chr8	71,815,346	71,817,424
GRMZM2G024993	wx1	waxy1	Classical Gene	Chr9	23,267,684	23,271,612
GRMZM2G170839	xyl1	xylanase1	Classical Gene	Chr1	132,575,709	132,578,475
GRMZM2G167824	yab10	yabby homolog10	Classical Gene	Chr1	225,097,097	225,102,315
GRMZM2G005353	yab14	yabby14	Classical Gene	Chr10	133,133,767	133,136,401
GRMZM2G529859	yab15	yabby15	Classical Gene	Chr5	189,249,290	189,252,175
GRMZM2G074543	yab9	yabby9	Classical Gene	Chr5	23,592,937	23,597,115
GRMZM2G086971	ypt1	ypt homolog1	Classical Gene	Chr2	47,740,882	47,746,771
GRMZM2G156599	ys1	yellow stripe1	Classical Gene	Chr5	190,726,052	190,729,182
GRMZM2G140016	yy1	yin-yang1	Classical Gene	Chr4	115,453,280	115,456,159
GRMZM2G052890	zag1	Zea AGAMOUS homolog1	Classical Gene	Chr6	132,008,587	132,016,861
GRMZM2G160687	zag2	Zea AGAMOUS homolog2	Classical Gene	Chr3	137,255,997	137,261,748
GRMZM2G003514	zag5	zea agamous5	Classical Gene	Chr4	156,111,149	156,118,295
GRMZM2G098813	zfl1	zea floricaula/leafy1	Classical Gene	Chr10	140,276,803	140,279,827
GRMZM2G180190	zfl2	Zea floricaula leafy2	Classical Gene	Chr2	12,649,206	12,652,213
GRMZM2G359952	zmm2	Zea mays MADS2	Classical Gene	Chr8	22,983,104	22,992,125
GRMZM2G071620	zmm31	Zea mays MADS31	Classical Gene	Chr5	6,925,447	6,932,461
GRMZM2G159397	zmm6	Zea mays MADS6	Classical Gene	Chr1	194,046,502	194,054,589
GRMZM2G102161	zmm8	Zea mays MADS8	Classical Gene	Chr9	146,936,987	146,945,281
GRMZM5G836222	znf1	zinc finger protein1	Classical Gene	Chr9	102,483,351	102,485,242
GRMZM2G008913	zp1	zein alpha protein1	Classical Gene	Chr4	29,963,321	29,964,591
GRMZM2G086294	zp15	zein protein, 15kDa15	Classical Gene	Chr6	44,541,825	44,542,774
GRMZM2G138727	zp27	27-kDa zein protein	Classical Gene	Chr7	120,233,940	120,236,057
